StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.2,Q2.4,Q2.5,Q2.6,Q2.8_First Click,Q2.8_Last Click,Q2.8_Page Submit,Q2.8_Click Count,Q2.10,Q2.11_First Click,Q2.11_Last Click,Q2.11_Page Submit,Q2.11_Click Count,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.9_First Click,Q3.9_Last Click,Q3.9_Page Submit,Q3.9_Click Count,Q3.11,Q3.12_First Click,Q3.12_Last Click,Q3.12_Page Submit,Q3.12_Click Count,Q4.2_First Click,Q4.2_Last Click,Q4.2_Page Submit,Q4.2_Click Count,Q4.4,Q4.5_First Click,Q4.5_Last Click,Q4.5_Page Submit,Q4.5_Click Count,Q5.2,Q5.3_First Click,Q5.3_Last Click,Q5.3_Page Submit,Q5.3_Click Count,Q5.5,Q5.5_First Click,Q5.5_Last Click,Q5.5_Page Submit,Q5.5_Click Count,CoinFlip,Q6.2,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q8.4,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Participate in Research Study

 

Decisions With Money


Principal Investigator: Onyul Haque, Senior in Psychology Department

Faculty Advisor: Professor David Dunning, Psychology Department 

 

You are invited to participate in a research study about how people think about financial situations

 

If you agree to be part of the research study, you will be asked to read through a few scenarios dealing with money and make decisions based on those scenarios.

 

Benefits of the research: There are no direct benefits of participating in this study.

 

Risks and discomforts: The risks of this study are minimal. They are nothing more than you would experience in your daily life.

 

Compensation: You will receive 1/2 hour of research credit for your participation, assigned

to the class you indicate below. In addition, there is a chance to gain money in this study.

 

Participating in this study is completely voluntary.  Even if you decide to participate now, you may change your mind and stop at any time. You may choose not to skip any questions you find yourself too uncomfortable to answer for any reason.

 

Information collected in this project may be shared with other researchers, but we will not share any information that could identify you.

 

If you have questions about this research study, please contact Onyul Haque at ohaque@umich.edu or the faculty advisor, David Dunning, at ddunning@umich.edu.  

 
The University of Michigan Institutional Review Board Health Sciences and Behavioral Sciences has determined that this study is exempt from IRB oversight",The most time you could have to make a choice is __ seconds.,"If there is a cutoff, it will only happen at the end of the 30 seconds.","If there is a cutoff , it will be randomly selected by the computer and could come anywhere during the 30 seconds.","If the computer cuts you off, you can affect the computer’s choice.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In this situation, the experimenter gives you $5 and you have two options with what to do with that money.

 

Option 1.  You can keep the money and have the $5 for sure

 

Option 2.  You can use the $5 to buy a ticket for a lottery.  If you win, your $5 becomes $10.  If you lose, you get nothing.  You have a 45% chance of winning in this lottery.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please enter the ID number of the person already assigned to you,The most time Person A could have to make a choice is __ seconds.,"If there is a cutoff, it will only happen at the end of the 30 seconds.","If there is a cutoff , it will be randomly selected by the computer and could come anywhere during the 30 seconds.","If the computer cuts off Person A, Person A can affect the computer’s choice.",Person B will know if you were cut off or not.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"ID:298340

 

 
In this scenario, there are two people (A and B).  Both have already been assigned to one another given the code number at the top of this page. Both will never know who the other person is, neither before, during, or after they make their decisions.  Thus, they interact with each other under conditions of total anonymity.



 

You are assigned to be Person A.

 

Person A gets $5 from the experimenter.  He or she has two options of what to do with that $5.

 

The two options of Person A:

 

Option 1: Person A can keep the $5.  In this case, Person B gets nothing.

 

Option 2: Person A can give the $5 to Person B.  In this case the experimenter adds another $15 so 

that Person B gets $20 in total

 

The two options of Person B:

 

Person B has two options with the $20 if Person A chooses Option 2 above (e.g., gives the $5).  Note that Person B must decide what to do with the $20 before knowing what Person A did (i.e., gave or kept the money).

 

Option 3:  Person B can keep the $20 for themselves and give $0 to Person A.

 

Option 4:  Person B can keep $10 for themselves and give $10 to Person A.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In this situation, the experimenter gives you $5 and you have two options with what to do with that money.

 

Option 1.  You can keep the money and have the $5 for sure

 

Option 2.  You can use the $5 to buy a ticket for a lottery.  If you win, your $5 becomes $10.  If you lose, you get nothing.  You have a 45% chance of winning in this lottery.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please enter the ID number of the person already assigned to you,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"ID:298340

 


In this scenario, there are two people (A and B).  Both have already been assigned to one another given the code number at the top of this page.  Each will find out the decision of the other person.  Both will never know who the other person is, neither before, during, or after they make their decisions.  Thus, they interact with each other under conditions of total anonymity.



 

You are assigned to be Person A.

 

Person A gets $5 from the experimenter.  He or she has two options of what to do with that $5.

 

The two options of Person A:

 

Option 1: Person A can keep the $5.  In this case, Person B gets nothing.

 

Option 2: Person A can give the $5 to Person B.  In this case the experimenter adds another $15 so 

that Person B gets $20 in total

 

The two options of Person B:

 

Person B has two options with the $20 if Person A chooses Option 2 above (e.g., gives the $5).  Note that Person B must decide what to do with the $20 before knowing what Person A did (i.e., gave or kept the money).

 

Option 3:  Person B can keep the $20 for themselves and give $0 to Person A.

 

Option 4:  Person B can keep $10 for themselves and give $10 to Person A.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In this situation, the experimenter gives you $5 and you have two options with what to do with that money.

 

Option 1.  You can keep the money and have the $5 for sure

 

Option 2.  You bet the $5 on a flip of a coin.  If the coin lands heads, you win $10.  If the coin lands tails, you lose the $5 and receive nothing.

 

Which option do you choose?","In this situation, the experimenter gives you $5 and you have two options with what to do with that money.

 

Option 1.  You can keep the money and have the $5 for sure

 

Option 2.  You bet the $5 on a flip of a coin.  If the coin lands heads, you win $10, as well as a random and anonymous person we have paired you with.  If the coin lands tails, you lose the $5 and receive nothing, but the anonymous person you have been paired with would then receive $20.

 

Which option do you choose?",_____% of all participants keep $20 for themselves and give $0 to Person A,_____% of all subjects keep $10 for themselves and give $10 to Person A,"Was there anything bizarre, crazy or confusing about this study?",What do you think you was the purpose of the cutoff mechanism?,Tell us what you think the study was about.,"In one part of the survey, you were given 60 seconds to think about the game before you officially made the decision. Was the 60 seconds enough time to get familiar with your options?",id
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID76""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID35_FIRST_CLICK""}","{""ImportId"":""QID35_LAST_CLICK""}","{""ImportId"":""QID35_PAGE_SUBMIT""}","{""ImportId"":""QID35_CLICK_COUNT""}","{""ImportId"":""QID38_FIRST_CLICK""}","{""ImportId"":""QID38_LAST_CLICK""}","{""ImportId"":""QID38_PAGE_SUBMIT""}","{""ImportId"":""QID38_CLICK_COUNT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID39_FIRST_CLICK""}","{""ImportId"":""QID39_LAST_CLICK""}","{""ImportId"":""QID39_PAGE_SUBMIT""}","{""ImportId"":""QID39_CLICK_COUNT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID74""}","{""ImportId"":""id""}"
2020-09-29 14:00:14,2020-09-29 14:01:40,Survey Preview,,100,85,True,2020-09-29 14:01:41,R_10MkpCD98BntPV8,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26.597,0,Option 2,20.241,20.241,22.632,1,,,,,,,,,,,Option1,,,,,,,,
2020-09-29 14:07:52,2020-09-29 14:09:00,Survey Preview,,100,67,True,2020-09-29 14:09:01,R_3Lha9xAI97Vi6Jf,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,39.602,0,Option 2,2.941,2.941,5.663,1,,,,,,,,,,,Option1,Option2,,,,,,,
2020-10-01 15:19:03,2020-10-01 15:22:31,Survey Preview,,100,208,True,2020-10-01 15:22:32,R_5nj5FqQVEphEImZ,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.001,94.602,97.68,3,Option 1,33.321,33.321,38.431,1,Option1,Option1,,,,,,,
2020-10-01 15:52:08,2020-10-01 15:53:47,Survey Preview,,100,98,True,2020-10-01 15:53:48,R_VPetki2SqXDPViV,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,35.338,0,Option 1,9.417,10.569,10.955,2,,,,,,,,,,,Option1,Option2,,,,,,,
2020-10-01 18:28:39,2020-10-01 18:29:56,Survey Preview,,100,76,True,2020-10-01 18:29:56,R_sZjKS3Ot6g9Bp6N,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,10,False,False,False,2.987,19.641,22.429,9,,0,0,10.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,,,ony,,
2020-10-01 18:33:35,2020-10-01 18:36:11,Survey Preview,,100,156,True,2020-10-01 18:36:12,R_56nFbTmoEJHFNwB,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16.673,0,Option 2,82.479,92.339,93.553,3,Option2,Option1,,,,,,,
2020-10-02 12:41:54,2020-10-02 12:53:20,Survey Preview,,100,686,True,2020-10-02 12:53:21,R_R4fFau9aRvDKqUp,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,False,False,False,,577.039,592.946,594.121,7,,0,0,11.244,0,,,,,,,,,,,,,,,,,,,,Option2,Option1,,,,,,,
2020-10-04 13:26:22,2020-10-04 13:26:46,Survey Preview,,100,24,True,2020-10-04 13:26:46,R_12MuRdpkyIo7wlQ,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.947,0,Option 2,3.088,3.088,4.004,1,,,,,,,,,,,Option1,Option2,,,,,,,
